Entry Name,GLP1R_3PA_GLP1_1 MaxLFQ Intensity,GLP1R_3PA_GLP1_2 MaxLFQ Intensity,GLP1R_3PA_GLP1_3 MaxLFQ Intensity,GLP1R_3PA_GLP1_4 MaxLFQ Intensity,GLP1R_3PA_VEH_1 MaxLFQ Intensity,GLP1R_3PA_VEH_2 MaxLFQ Intensity,GLP1R_3PA_VEH_3 MaxLFQ Intensity,GLP1R_3PA_VEH_4 MaxLFQ Intensity,GLP1R_WT_GLP1_1 MaxLFQ Intensity,GLP1R_WT_GLP1_2 MaxLFQ Intensity,GLP1R_WT_GLP1_3 MaxLFQ Intensity,GLP1R_WT_GLP1_4 MaxLFQ Intensity,GLP1R_WT_VEH_1 MaxLFQ Intensity,GLP1R_WT_VEH_2 MaxLFQ Intensity,GLP1R_WT_VEH_3 MaxLFQ Intensity,GLP1R_WT_VEH_4 MaxLFQ Intensity,NEG_1 MaxLFQ Intensity
MA7D1_RAT,313668.44,360332.78,354221.78,360888.3,292554.53,352896.4,368684.3,417615.97,301078.5,305415.8,328533.47,353061.28,287982.78,300243.44,309263.84,330121.7,214918.36
TCF25_RAT,14911.925,15500.804,14342.469,16503.738,11797.497,16022.289,13672.31,13430.281,0.0,13262.881,13584.441,15232.359,13366.745,15486.235,15219.599,13134.664,12368.873
RBPMS_RAT,33181.188,30666.887,30544.092,28648.799,34292.273,31875.662,29831.816,32009.367,40158.703,35400.44,37648.848,34760.45,36668.234,39118.65,30649.613,37708.9,27260.256
OLA1_RAT,25661.715,23960.045,21816.803,27678.867,23552.0,23185.135,26124.836,24683.355,25194.307,27826.568,26154.354,30704.361,19760.908,25320.715,26208.621,25671.564,17328.729
EIF3J_RAT,26887.697,24312.867,25951.186,25282.959,23418.785,26608.334,27749.363,25757.596,26465.164,28762.592,27524.592,26970.027,29977.24,27057.363,26374.941,26547.809,27917.443
NC2A_RAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCD61_RAT,43071.113,44913.254,48220.58,45670.17,43356.754,41514.42,37341.965,46094.98,42359.72,43261.594,38250.24,39558.645,44763.723,42730.773,43645.47,41908.863,30521.742
SHOT1_RAT,1070460.4,1162483.0,891157.06,901909.94,672067.2,871437.1,907360.6,743463.06,1059230.6,843538.2,732323.06,733101.44,353215.66,581071.4,1162021.1,1020045.3,606982.06
BORG5_RAT,204919.9,201931.58,252273.08,188853.88,128986.17,183578.06,130171.0,146596.95,216112.56,325609.97,243360.06,297257.78,176161.88,155947.52,159233.98,98653.77,0.0
RRS1_RAT,36081.574,23492.654,16934.068,19895.598,18854.65,23573.186,27178.896,35376.316,24993.174,18986.92,18070.883,25151.814,18930.803,20994.51,16093.543,23489.111,26292.025
RFOX2_RAT,96746.086,96293.945,95588.26,81352.914,88258.57,88138.41,90930.164,92896.79,104417.78,96992.06,104021.17,104671.22,99817.805,102223.25,98464.84,94360.016,85145.67
PRP6_RAT,91980.39,88279.2,88510.086,91019.09,92647.63,90790.97,97788.31,97197.586,93334.32,91765.72,92840.3,92163.69,94309.805,93921.945,98702.03,91772.95,106179.28
AUP1_RAT,12018.832,17792.373,15841.679,13829.754,14506.071,14399.413,15124.509,17521.895,27041.428,30604.176,28590.71,36386.207,29232.447,38120.234,31929.863,27089.361,11985.729
NUMBL_RAT,0.0,46041.86,46920.812,38874.727,43766.555,0.0,45470.586,39646.17,0.0,0.0,34871.31,0.0,45821.56,41763.66,38808.137,28045.828,53763.52
LMF2_RAT,22282.092,22993.098,26991.562,30585.73,19005.492,25480.35,20442.547,23753.531,29609.725,27607.873,24573.664,27886.924,30373.557,22938.031,22476.266,29033.775,19492.25
