Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GLP1R_3PA_GLP1_1 Spectral Count	GLP1R_3PA_GLP1_2 Spectral Count	GLP1R_3PA_GLP1_3 Spectral Count	GLP1R_3PA_GLP1_4 Spectral Count	GLP1R_3PA_VEH_1 Spectral Count	GLP1R_3PA_VEH_2 Spectral Count	GLP1R_3PA_VEH_3 Spectral Count	GLP1R_3PA_VEH_4 Spectral Count	GLP1R_WT_GLP1_1 Spectral Count	GLP1R_WT_GLP1_2 Spectral Count	GLP1R_WT_GLP1_3 Spectral Count	GLP1R_WT_GLP1_4 Spectral Count	GLP1R_WT_VEH_1 Spectral Count	GLP1R_WT_VEH_2 Spectral Count	GLP1R_WT_VEH_3 Spectral Count	GLP1R_WT_VEH_4 Spectral Count	NEG_1 Spectral Count	GLP1R_3PA_GLP1_1 Unique Spectral Count	GLP1R_3PA_GLP1_2 Unique Spectral Count	GLP1R_3PA_GLP1_3 Unique Spectral Count	GLP1R_3PA_GLP1_4 Unique Spectral Count	GLP1R_3PA_VEH_1 Unique Spectral Count	GLP1R_3PA_VEH_2 Unique Spectral Count	GLP1R_3PA_VEH_3 Unique Spectral Count	GLP1R_3PA_VEH_4 Unique Spectral Count	GLP1R_WT_GLP1_1 Unique Spectral Count	GLP1R_WT_GLP1_2 Unique Spectral Count	GLP1R_WT_GLP1_3 Unique Spectral Count	GLP1R_WT_GLP1_4 Unique Spectral Count	GLP1R_WT_VEH_1 Unique Spectral Count	GLP1R_WT_VEH_2 Unique Spectral Count	GLP1R_WT_VEH_3 Unique Spectral Count	GLP1R_WT_VEH_4 Unique Spectral Count	NEG_1 Unique Spectral Count	GLP1R_3PA_GLP1_1 Total Spectral Count	GLP1R_3PA_GLP1_2 Total Spectral Count	GLP1R_3PA_GLP1_3 Total Spectral Count	GLP1R_3PA_GLP1_4 Total Spectral Count	GLP1R_3PA_VEH_1 Total Spectral Count	GLP1R_3PA_VEH_2 Total Spectral Count	GLP1R_3PA_VEH_3 Total Spectral Count	GLP1R_3PA_VEH_4 Total Spectral Count	GLP1R_WT_GLP1_1 Total Spectral Count	GLP1R_WT_GLP1_2 Total Spectral Count	GLP1R_WT_GLP1_3 Total Spectral Count	GLP1R_WT_GLP1_4 Total Spectral Count	GLP1R_WT_VEH_1 Total Spectral Count	GLP1R_WT_VEH_2 Total Spectral Count	GLP1R_WT_VEH_3 Total Spectral Count	GLP1R_WT_VEH_4 Total Spectral Count	NEG_1 Total Spectral Count	GLP1R_3PA_GLP1_1 Intensity	GLP1R_3PA_GLP1_2 Intensity	GLP1R_3PA_GLP1_3 Intensity	GLP1R_3PA_GLP1_4 Intensity	GLP1R_3PA_VEH_1 Intensity	GLP1R_3PA_VEH_2 Intensity	GLP1R_3PA_VEH_3 Intensity	GLP1R_3PA_VEH_4 Intensity	GLP1R_WT_GLP1_1 Intensity	GLP1R_WT_GLP1_2 Intensity	GLP1R_WT_GLP1_3 Intensity	GLP1R_WT_GLP1_4 Intensity	GLP1R_WT_VEH_1 Intensity	GLP1R_WT_VEH_2 Intensity	GLP1R_WT_VEH_3 Intensity	GLP1R_WT_VEH_4 Intensity	NEG_1 Intensity	GLP1R_3PA_GLP1_1 MaxLFQ Intensity	GLP1R_3PA_GLP1_2 MaxLFQ Intensity	GLP1R_3PA_GLP1_3 MaxLFQ Intensity	GLP1R_3PA_GLP1_4 MaxLFQ Intensity	GLP1R_3PA_VEH_1 MaxLFQ Intensity	GLP1R_3PA_VEH_2 MaxLFQ Intensity	GLP1R_3PA_VEH_3 MaxLFQ Intensity	GLP1R_3PA_VEH_4 MaxLFQ Intensity	GLP1R_WT_GLP1_1 MaxLFQ Intensity	GLP1R_WT_GLP1_2 MaxLFQ Intensity	GLP1R_WT_GLP1_3 MaxLFQ Intensity	GLP1R_WT_GLP1_4 MaxLFQ Intensity	GLP1R_WT_VEH_1 MaxLFQ Intensity	GLP1R_WT_VEH_2 MaxLFQ Intensity	GLP1R_WT_VEH_3 MaxLFQ Intensity	GLP1R_WT_VEH_4 MaxLFQ Intensity	NEG_1 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A8I5ZM56|MA7D1_RAT	A0A8I5ZM56	MA7D1_RAT	Map7d1	849	Rattus norvegicus	3:Protein inferred from homology	MAP7 domain-containing protein 1	1.0	0.999	4	52	0	52	3	3	4	2	2	4	2	4	4	2	3	5	0	3	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	2	2	4	2	4	4	2	3	5	0	3	5	5	1	60629.773	2109708.5	2283916.0	68566.305	55685.523	67324.586	48550.72	47872.543	2261329.5	2531645.8	2115767.8	2436822.5	1777259.6	1816055.5	1799751.5	1580960.1	41099.535	313668.44	360332.78	354221.78	360888.3	292554.53	352896.4	368684.3	417615.97	301078.5	305415.8	328533.47	353061.28	287982.78	300243.44	309263.84	330121.7	214918.36	tr|A0A8I6AMK3|A0A8I6AMK3_RAT, tr|D4A644|D4A644_RAT
sp|A0A8I6ASZ5|TCF25_RAT	A0A8I6ASZ5	TCF25_RAT	Tcf25	666	Rattus norvegicus	1:Experimental evidence at protein level	Ribosome quality control complex subunit TCF25	1.0	0.9976	2	12	0	12	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	3	0	14193.313	14753.814	13651.3	15708.417	11228.972	15250.169	13013.437	12783.071	0.0	12623.738	28718.72	35011.05	12722.597	14739.948	14486.16	28465.566	11772.8125	14911.925	15500.804	14342.469	16503.738	11797.497	16022.289	13672.31	13430.281	0.0	13262.881	13584.441	15232.359	13366.745	15486.235	15219.599	13134.664	12368.873	tr|A0A8I5ZS26|A0A8I5ZS26_RAT, tr|A0A8I6AR72|A0A8I6AR72_RAT, tr|A0A8I6GHP2|A0A8I6GHP2_RAT, tr|D3ZC46|D3ZC46_RAT
sp|A0A8I6G705|RBPMS_RAT	A0A8I6G705	RBPMS_RAT	Rbpms	197	Rattus norvegicus	1:Experimental evidence at protein level	RNA-binding protein with multiple splicing	1.0	0.999	3	41	0	41	3	3	1	3	2	2	3	1	2	2	3	2	3	1	4	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	3	2	2	3	1	2	2	3	2	3	1	4	5	1	60354.46	55587.418	56000.06	52863.65	62039.67	57640.42	54405.82	58462.547	73236.05	81209.69	90436.11	80858.86	90538.69	94856.32	74088.35	92693.25	51398.97	33181.188	30666.887	30544.092	28648.799	34292.273	31875.662	29831.816	32009.367	40158.703	35400.44	37648.848	34760.45	36668.234	39118.65	30649.613	37708.9	27260.256	tr|A0ABK0M1P2|A0ABK0M1P2_RAT, tr|F2Z3S5|F2Z3S5_RAT
sp|A0JPJ7|OLA1_RAT	A0JPJ7	OLA1_RAT	Ola1	396	Rattus norvegicus	2:Experimental evidence at transcript level	Obg-like ATPase 1	0.999	0.9978	2	10	0	10	1	0	0	2	0	0	3	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	1	0	0	0	0	0	0	1	1	1	46450.11	44307.43	39980.918	26657.31	44415.953	43454.586	48016.945	45899.48	46385.914	26799.56	25189.062	29571.14	36104.562	46844.273	47462.367	46833.855	35140.586	25661.715	23960.045	21816.803	27678.867	23552.0	23185.135	26124.836	24683.355	25194.307	27826.568	26154.354	30704.361	19760.908	25320.715	26208.621	25671.564	17328.729	tr|A0A8I5ZYJ5|A0A8I5ZYJ5_RAT, tr|A0ABK0LXZ2|A0ABK0LXZ2_RAT
sp|A0JPM9|EIF3J_RAT	A0JPM9	EIF3J_RAT	Eif3j	259	Rattus norvegicus	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit J	1.0	0.999	3	26	0	26	2	1	1	2	2	2	3	1	1	1	0	1	2	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	2	2	3	1	1	1	0	1	2	3	1	3	0	45259.703	62725.555	46755.71	62796.14	60290.883	65387.156	69478.45	64531.78	65933.3	51826.496	67442.99	48590.074	29823.03	67090.055	66559.71	65946.11	67717.52	26887.697	24312.867	25951.186	25282.959	23418.785	26608.334	27749.363	25757.596	26465.164	28762.592	27524.592	26970.027	29977.24	27057.363	26374.941	26547.809	27917.443	tr|A0A8I5ZZ82|A0A8I5ZZ82_RAT, tr|A0A8L2QCM4|A0A8L2QCM4_RAT
sp|A0JPP1|NC2A_RAT	A0JPP1	NC2A_RAT	Drap1	205	Rattus norvegicus	2:Experimental evidence at transcript level	Dr1-associated corepressor	0.9566	0.998	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0JPP8|CCD61_RAT	A0JPP8	CCD61_RAT	Ccdc61	512	Rattus norvegicus	1:Experimental evidence at protein level	Centrosomal protein CCDC61	1.0	0.999	2	73	73	73	4	4	3	5	5	6	3	4	5	4	2	3	5	4	8	7	1	4	4	3	5	5	6	3	4	5	4	2	3	5	4	8	7	1	4	4	3	5	5	6	3	4	5	4	2	3	5	4	8	7	1	82898.95	85592.14	92120.67	87466.086	82499.11	78955.72	71347.34	87843.74	80927.72	82287.64	72789.734	36733.516	85358.91	82663.84	83194.31	79815.3	59856.676	43071.113	44913.254	48220.58	45670.17	43356.754	41514.42	37341.965	46094.98	42359.72	43261.594	38250.24	39558.645	44763.723	42730.773	43645.47	41908.863	30521.742	
sp|A0MZ67|SHOT1_RAT	A0MZ67	SHOT1_RAT	Shtn1	633	Rattus norvegicus	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	1	6	0	6	1	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	2589075.0	2793078.5	2241323.2	1591043.2	1725203.8	2091560.8	2159784.2	1309589.0	2569347.8	1491758.2	1274568.2	1298204.9	344366.12	566513.1	1132907.6	994488.94	1061530.8	1070460.4	1162483.0	891157.06	901909.94	672067.2	871437.1	907360.6	743463.06	1059230.6	843538.2	732323.06	733101.44	353215.66	581071.4	1162021.1	1020045.3	606982.06	tr|A0A0G2K9C4|A0A0G2K9C4_RAT, tr|D4A6P3|D4A6P3_RAT
sp|A1A5P0|BORG5_RAT	A1A5P0	BORG5_RAT	Cdc42ep1	388	Rattus norvegicus	1:Experimental evidence at protein level	Cdc42 effector protein 1	0.9857	0.9965	1	4	0	4	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	204919.9	201931.58	252273.08	188853.88	128986.17	183578.06	130171.0	146596.95	216112.56	325609.97	243360.06	297257.78	176161.88	155947.52	159233.98	98653.77	0.0	204919.9	201931.58	252273.08	188853.88	128986.17	183578.06	130171.0	146596.95	216112.56	325609.97	243360.06	297257.78	176161.88	155947.52	159233.98	98653.77	0.0	tr|A0A8I5ZKG9|A0A8I5ZKG9_RAT
sp|A1A5P2|RRS1_RAT	A1A5P2	RRS1_RAT	Rrs1	365	Rattus norvegicus	2:Experimental evidence at transcript level	Ribosome biogenesis regulatory protein homolog	1.0	0.999	3	33	33	33	2	2	0	0	1	3	5	3	3	0	1	3	1	1	3	2	3	2	2	0	0	1	3	5	3	3	0	1	3	1	1	3	2	3	2	2	0	0	1	3	5	3	3	0	1	3	1	1	3	2	3	93362.21	38832.492	13556.709	15927.586	39152.234	63129.836	75456.08	95212.3	73708.586	15200.136	34579.21	41287.43	33561.594	35855.832	29155.734	42847.734	74864.31	36081.574	23492.654	16934.068	19895.598	18854.65	23573.186	27178.896	35376.316	24993.174	18986.92	18070.883	25151.814	18930.803	20994.51	16093.543	23489.111	26292.025	
